Station,Date,Influx,Tickets,Pre-booked,Onspot,Revenue
ST01,1/1/2022,8373,2775,2407,368,13875
ST01,1/2/2022,6192,5854,4923,931,29270
ST01,1/3/2022,9111,4956,4366,590,24780
ST01,1/4/2022,4808,982,768,214,4910
ST01,1/5/2022,9646,4988,4421,567,24940
ST01,1/6/2022,8507,5703,4656,1047,28515
ST01,1/7/2022,4456,839,708,131,4195
ST01,1/8/2022,6814,5520,5042,478,27600
ST01,1/9/2022,9253,7318,5712,1606,36590
ST01,1/10/2022,6764,3168,2270,898,15840
ST01,1/11/2022,8366,7295,5779,1516,36475
ST01,1/12/2022,7496,7333,5622,1711,36665
ST01,1/13/2022,9602,3299,2705,594,16495
ST01,1/14/2022,3986,2148,1851,297,10740
ST01,1/15/2022,5335,1919,1594,325,9595
ST01,1/16/2022,7502,6941,4988,1953,34705
ST01,1/17/2022,5921,4297,3881,416,21485
ST01,1/18/2022,3575,2681,2393,288,13405
ST01,1/19/2022,5375,3662,3168,494,18310
ST01,1/20/2022,9268,1837,1618,219,9185
ST01,1/21/2022,6646,1695,1250,445,8475
ST01,1/22/2022,9771,1693,1382,311,8465
ST01,1/23/2022,8457,1262,979,283,6310
ST01,1/24/2022,7686,6842,5086,1756,34210
ST01,1/25/2022,3761,2857,2375,482,14285
ST01,1/26/2022,3819,2491,2249,242,12455
ST01,1/27/2022,6171,5342,4029,1313,26710
ST01,1/28/2022,7295,6714,5214,1500,33570
ST01,1/29/2022,4536,1030,940,90,5150
ST01,1/30/2022,3160,609,454,155,3045
ST01,1/31/2022,3675,2148,1794,354,10740
ST01,2/1/2022,9721,9442,7389,2053,47210
ST01,2/2/2022,3885,1366,1255,111,6830
ST01,2/3/2022,7308,3604,3185,419,18020
ST01,2/4/2022,8681,5312,3898,1414,26560
ST01,2/5/2022,7714,1078,967,111,5390
ST01,2/6/2022,5924,1951,1644,307,9755
ST01,2/7/2022,3639,1827,1548,279,9135
ST01,2/8/2022,8815,7204,5975,1229,36020
ST01,2/9/2022,6355,5699,4988,711,28495
ST01,2/10/2022,8270,2759,1984,775,13795
ST01,2/11/2022,5791,4114,3192,922,20570
ST01,2/12/2022,8766,7044,5242,1802,35220
ST01,2/13/2022,5926,3258,2802,456,16290
ST01,2/14/2022,6733,5796,4575,1221,28980
ST01,2/15/2022,5456,3590,2587,1003,17950
ST01,2/16/2022,8948,1809,1274,535,9045
ST01,2/17/2022,3686,2578,2327,251,12890
ST01,2/18/2022,7961,7155,5932,1223,35775
